Name,Activities,Subsector Activities,PO Box,City,Fax,Email,Location,Manager
SECA ( Services Camerounais d'Assainissement )," Collecte et transport des déchets industriels, destruction des archives et avaries, expédition transfrontalier de déchets dangereux, lutte antivectorielle et traitement phytosanytaire", Services assainissement, B.P.2172, DOUALA, 233 37 82 00, seca.hysacam@gmail.com, Bonaloka (texaco Aéroport), Monsieur Michel  NGAPANOUN(Directeur général)
SDAD (Société de Distribution & d'Achats Divers), Distribution, Commerce et distribution, B.P. 8693, DOUALA, 233 42 05 88, ssdadsarl@yahoo.com," Mbopi, entrée face gendarmerie", Monsieur Paul GUIAGUIA(Président directeur général)
SEMAGRI Sarl, Importation des semences maraîchères (Produits BIO), Commerce et distribution, B.P. 5655, DOUALA, 2 33 47 52 46," semagri@semagricmr.com, alain.kanmegne@agrivisionsmr.com", Akwa Nord, Monsieur Alain Blaise KANMEGNE(Directeur général)
SHOOTING STAR, Placement du personnel temporaire, Services aux entreprises,None, DOUALA, 233 42 53 30, sstar@camnet.cm," Bali, rue Prince Bell", Madame Judith EPEE BOUN(Directeur général)
SGS CAMEROUN S.A.," inspection, contrôle", Services aux entreprises, DG, DOUALA,  B.P. 13 144 / B.Liaison, edith.bebey@sgs.com; annie.joky@sgs.com," Akwa , Beach", Madame NZONDJOU Patricia (Directeur général)
SGMC (Société les Grands Moulins du Cameroun), Production de farine boulangère, Industrie agroalimentaire, B.P. 3509, DOUALA,None, directionsgmc@sgmc.somdiaa.com," Bonanjo, Port", Monsieur Cyrille PLANTONI (Directeur général)
SIC CACAOS, Transformation des fèves de cacao, Industrie agroalimentaire, B.P. 570, DOUALA, 233 40 39 31, pierluigi_passera@barry-callebaut.com," Bassa, Cité Cicam, Point franc", Madame Charity SACKITEY(Directeur général)
SMPC (Société Moderne du Pneumatique Camerounais), Vente pneumatique,None,None, DOUALA,None, cyil.fahy@michelin.com, Bonabéri, Monsieur Cyril FAHY (D.G)
SIC (Société Immobilière du Cameroun)," Promotion Immobilière, habitat", Services, B.P. 387, YAOUNDE, 222 22 51 19,  info@sic.cm, Hyppodrome, Monsieur Ahmadou SARDOUNA (Directeur Général)
SIVO CENTRAL AFRICA, Vente des produits paramédicaux,None,None, Douala,None,  mohamed.agrebi@essilor.com," Akwa, Immeuble SGC, 5ème niveau", Monsieur MOHAMED AGREBI (DG)
SIKA CAMEROON, Vente de produits chimiques pour construction et industrie,None, BP 1049, DOUALA,None, ndame.emelienne@cm.sika.com / kamdem.eric@cm.sika.com," Zone industrielle Bonaberi, à coté Source du Pays", Madame Audrey ENTCHEU (D.G)
SIPP (SOCIETE INDUSTRIELLE DES PRODUITS PHARMACEUTIQUES), Fabrications de solutés massifs, Industrie Pharmaceutique, BP 4403, YAOUNDE, 222305255," sipp@sippcameroun.com, sboubakary@cadyst-invest.com", YAOUNDE (Zone Industrielle Mvan), Monsieur SALIHOU BOUBAKARY(Directeur général)
SOCARTO (Sté Camerounaise de Cartonnages et de Fournitures de matériel  scolaire & Bureau)," Production sacs à ciment, sacs vides en papier de grande et moyenne contenance pour emballage, papier écriture et impression offset laser", Industrie du papier et cartons, B.P. 5028, DOUALA, 233 37 78 00 / 233 42 86 72," contact@socarto.com,  jean-jacques.epee-same@socarto.com"," Bassa, ndokoti", Monsieur Samuel  KONDO NJANGA NGANDE (PDG)
SNTS (Société Nationale de Transit et de Services), Commissionnaire en douane agréé,None, 1341, DOUALA,None, sntsnordsudcti@yahoo.fr, Bonanjo, Mme. Marie Mélanie BELL (DG)
SOCAPALM (Société Camerounaise des Palmeraies)," Culture palmiers à huile, production & commercialisation huile brute & palmistes, fractionnement huile brute et commercialisation d'oléine et  stéarine", Agro-industrie, B.P. 691, DOUALA, 233 43 87 34, socapalm@socapalm.com; rlienou@socapalm.org," Bonanjo , Imm ONCPB", Monsieur Dominique CORNET(Directeur général)
SMT, Commerce,None, 3553," DOUALA, CAMEROUN",None," jerome.francois@smt-group.com, info.africa@smt.network"," Bassa, ZI MAGZI", Monsieur Jerôme FRANCOIS
SOACAM (SOCIETE ALIMENTAIRE DU CAMEROUN), Commerce général (distribution des produits alimentaires), Commerce et distribution, 17355, DOUALA,  233 42 32 98, soacam@yahoo.fr / alcali.amine@soacam.cm," Akwa, Ancien 3ème", Monsieur OUMAROU SAHABO (Directeur Général)
SOCATAM, Commercialisation de matériels industriels et pétroliers, Commerce et distribution, B.P. 3941, DOUALA, 233 40 57 88, contact@socatam.com," Base elf, face TAC", Monsieur Lacina TIORO(Directeur général)
SNI (Société Nationale des Investissements)," Société de portefeuille, création de projets, réalisation d'études et d'operations financières susceptibles de promouvoir le développement économique, prise ou rachat de participations au capital des entreprises, négociation des obligations et autres titr", Services aux entreprises, B.P. 423, YAOUNDE, 222 23 13 32, sni@sni.cm," Yaoundé, Poste Centrale", Madame YAOU  AISSATOU(Directeur général)
SNAVTC (Syndicat Nationale des Agences de Voyage et de Tourisme du Cameroun)," Syndicat (Agences de voyages, vente billets d'avion, tourisme…)",None, BP 5336, DOUALA,None,None, S/c Aigle Voyages, M. Georges SANGANG SIMO (Président)
SOCATUR S.A., Transport urbain, Transport, B.P. 1347, DOUALA, 233 40 12 99, socatur@hotmail.fr, ndkotti (palais de justice), Madame Lydienne MOULOBY NGALLE BIBEHE(Directeur général)
SOCIETE  QUIFEUROU," Import-export, distribution matériel de construction", Commerce et distribution, B.P 6787, Douala, 233 42 32 18/ 233 42 50 52, emmanuel.peughouia@groupequifeurou.com;, Essengue, Monsieur Emmanuel  PEUGHOUIA(Directeur général)
Société 8P Transit S.A," Transport Maritime, Transit",None, 13224, Douala,None, societe8ptransit@yahoo.fr," Zone portuaire, Immeuble Quifeurou", Mme Teufack Annick (Directrice Générale)
SOCIETE DES ETABLISSEMENTS MONKAM (SEM)," Hôtels, Immeubles, Centres Commerciaux"," Location immeubles, boutiques, centres commerciaux, Restauration", B.P. 5300 Douala-Cameroun, DOUALA,None, infos@groupemonkam.com," 503, Boulevard de la Liberté Akwa - Douala", MONKAM  DJEUMENI Jeannette
SOCIETE AZOLAR SARL, Commerce Général,None, BP 5585, DOUALA,None, azolarsarl@yahoo.com," Akwa, Carrefour Tif", Madame Colette TEUMO (Directeur Général)
SOCIETE CAMEROUNAISE DE PRODUCTION DE RIZ (SCPR)," PRODUCTION DE RIZ A GRANDE ECHELLE, 
PRODUCTION D'EMBALLAGES",None, 207, YAGOUA,None, scpr_2008@yahoo.fr," YAGOUA, Ouro Dabang / M090800026350K", Monsieur ABDOURAMANE SOULBANKAI (DG)
SOCIETE SEVI SUARL," EXPLOITATION, TRANSFORMATION ET EXPORTATION DU BOIS", PRESTATION DIVERSES - IMPORT/EXPORT, B.P.  8408 Douala-Cameroun, DOUALA,None, sevisarl2008@yahoo.fr / info@sevisuarl.com, ZONE INDUSTRIELLE BASSA, M. SEVI CODJO Samuel (PDG & Directeur Général)
SOCIETE CYBERIX SARL," Cyber Sécurité, Intrusions et formation, Expertise Cyber Légale, Laboratoire d'analyse",None, BP 10001, DOUALA,None," lewourien@cyberix.fr, operations@cyberix.fr", Douala - Bonamatoumbe, Docteur EYOUM EYOUM Gérard Lewourien (Directeur Général)
SOCIETE TIGUI SA, Import/Export,None, BP 566, YAOUNDE,None, fant.said@gmail.com, Mvog-Mbi, Mme FANTA SAID (Administrateur)
SOCIETE GENERALE CAMEROUN (SGC), Services bancaires, Banque, B.P. 4042, DOUALA,  233 42  87 72, mareme.mbaye@socgem.com, Bonanjo, Madame Marème MBAYE NDIAYE (DG)
SODECOTON (Société de Développement du Coton du Cameroun)," Encadrement des producteurs de coton, production et commercialisation de coton- fibre, huile de coton, tourteau de coton", Agro-industrie, B.P. 302, GAROUA, 222 27 20 68/233 42 46 03, sodecoton@sodecoton.cm, GAROUA, Monsieur MOHAMADOU BAYERO(Directeur général)
SOPAL SARL, Commerce Général,None, BP 121, BAFOUSSAM,None,None," Bafoussam, face UCCAO", Monsieur Serge Armel NJOKO (Directeur Général)
SOFITOUL S.A., Agence de voyage et de tourisme, Tourisme, B.P. 20062, Yaoundé, 222 20 13 85, info@sofitoul.com," Yaoundé, Carrefour Bastos, face usine BAT, Douala, (Dla) Bonapriso face école les GAIS LUTINS", Monsieur Rodolphe SIMO KAM(Administrateur directeur général)
SOCIPEC SARL," Fabrication, transformation et commerce des peintures, encres et colles", Industrie chimique, B.P. 12132, DOUALA, 233 47 19 67, tacicam@yahoo.fr," Bonamoussadi, derrière collège bao", Monsieur Chrétien TAGNE(Président directeur général)
SOLEX SARL, Messageries Express,None, BP 15814, DOUALA,None, info@solextgv.com," Douala, Bali face Somatel", Monsieur Joseph TONMO (D.G)
SONARA  (Société Nationale de Raffinage)," Raffinage de pétrole brut, vente de produits raffinés", Industrie de raffinage, B.P. 365, LIMBE, 233 33 21 88/233 42 34 44,  contact@sonara.cm, Limbé, M. Jean Paul SIMO NJONOU (Directeur général)  - Mme Bertha NDOH née BAKATA (PCA)
SOYA BEANS PROCESSING INDUSTRY OF CAMEROON (SOPROICAM) S.A, Raffinage Huiles Végétales,None, 13135, Douala,None, info@soproicam.cm,None, M. Raymond DIFFO
SOURCE DU PAYS, Commercialisation d'eau minérale et prestations de services, Industrie de boisson, B.P.914, DOUALA, 233 39 30 12, secretariat.direction@sourcedupays.com," Bonabéri, Zone industrielle", Monsieur El SAHELY NESSRALLAH(Président directeur général)
SOLEVO CAMEROUN," Engrais, produits chimiques, aliments du bétail, produits phytosanitaires, matériel de pulvérisation", Commerce et distribution, B.P. 2368, DOUALA, 233 39 16 38/39, audrey.soun@solevogroup.com, Bonassama / Zone industrielle de Bonabéri, Monsieur Abel MANDENGUE (Directeur Général)
SOSUCAM (Société Sucrière du Cameroun), Production et commercialisation du sucre en morceaux et en poudre, Agro-industrie, B.P. 857, YAOUNDE, 22 23 05 85, yde-secretariat@sosucam.somdiaa.com, Yaoundé (MBANDJOCK), Monsieur Louis YINDA(Président directeur général)
SOREPCO," Commerce général, quincaillerie", Commerce et distribution, B.P. 2854, DOUALA, 233 42 08 57, sorepco.sa@gmail.com," Mboppi, face CBC", Monsieur Lucas DJEMMO(Président directeur général)
SOGECO,None,None,None,None,None, sogecobafoussam@yahoo.fr,None, Monsieur Cément MOUMBE (Directeur Général)
SUMU ASSURANCES VIE CAMEROUN, Assurances, Assurances Vie, BP  2153 Douala-Cameroun, Douala, 233 42 12 82, cameroun.vie@sumu-group.com," Akwa, immeuble La Rotonde (PMUC), 6ème étage", Monsieur Dimitri IRIYE (DG)
STYLE COM SARL, Commerce,None,None, DOUALA,None, stylecomsarl@gmail.com, Douala-Deido (entre BOULANGERIE COAF et CCA BANK), MADAME TEMGOUA DIDY AIMERANCE (Promotrice)
SUMOCAM ( Sucreries Modernes du Cameroun ), Transformation de sucre granulé en morceaux, Industrie Agroalimentaire, B.P.5802, DOUALA, 233 43 37 18," sodipa@camnet.cm, sumocamsarl@yahoo.fr"," Bassa, à coté Unalor", Monsieur Thimothé GAMO(Directeur général)
SPEED APPRO, Approvisionnement express, Services aux entreprises, B.P. 1923, DOUALA, 233 42 62 31, speed.appro@netcourrier.com; speed.appro@yahoo.fr, Akwa, Monsieur Michaël  BILLET(Directeur général)
STANDARD CHARTERED BANK CAMEROON S.A., Services bancaires, Banque, B.P. 1784, DOUALA, 233 42 27 89 / 233 43 10 50," pascale-fride.balem@cm.standardchartered.com, marie-paul.matouke@sc.com, yimga.nyassi@sc.com, Vincent.ngimbock@sc.com, jean-arsene.yerima@sc.com"," Akwa, Boulevard de la Liberté", Monsieur KAMARA IDRISSA AMADU(Directeur général)
SPECTRUM SARL, Services multi-médias,None, 4883, DOUALA, 233 43 30 48,None," Bonanjo, avenue de Gaulle", Colin EBARKO MUKETE (Directeur Général)
ST DIGITAL," Formation, conseils, intégration de solutions informatiques",None,None, DOUALA,None, info@st.digital.com," Akwa, Immeuble Entrelec, 2ème étage", Monsieur Anthony SAME EKOBO (D.G)
SUNU CAMEROUN, ASSURANCES VIE, Assurance, B.P.2153 Douala-Cameroun, Douala, 233 42 12 82, cameroun.vie@sumu-group.com," Akwa, 6è étage immeuble La Rotonde (PMUC), 291 Boulevard de la Liberté"," Nelly BAKANG YOMBA (DG), Chantal MOUELLE(DGA)"
SUNDA Cameroun Ltd," Commerce général (produits du textile, couches jetables…)",None,None, DOUALA,None,None," Bali, face Essoka Security", Monsieur YUE JIE (D.G)
SYGALIN S.A.S," Grossiste Canal+, Conception et édition des logiciels et progiciels (ERP)",None, 450, Ngaoundéré,None," djommo_l@sygalin.com, keou_s@gygalin.com, fansi_m@sygalin.com, njike@sygalin.com"," Antenne KOTTO, immeuble arbitrant la pharmacie de KOTTO", Monsieur Lin Valère DJOMMO (PDG)
SYNDUSTRICAM (Syndicat des Industriels du Cameroun), Syndicat (industriels), Syndicat," B.P. 673 (Dla), 1516 (Ydé)", DOUALA, 233 42 56 16 (Douala)  222 21 52 86 (Yaoundé), doualasyndustricam@yahoo.fr; syndustricamyaounde@yahoo.fr," Bali, entrelec", Monsieur Alain MALONG(Président)
TCHIN-PAS SARL, Commerce Général,None, BP 30324, YAOUNDE,None,None, Yaoundé Mvog-Ada, Monsieur Pascal TCHINDA (PDG)
SYPRODIS, Syndicat,None,None, Douala,None," mouzong_jc@yahoo.fr, aminkala@yahoo.fr",None, Monsieur ABEGA MINKALA (Président)
TECHNOLOGIE ZENTRUM SARL, INGENIEURIE ET TRAVAUX ELECTRIQUES, Services aux entreprises, B.P. 12503, DOUALA, 233 41 31 22, techno_zentrum@yahoo.fr," Akwa, à coté Hôtel LEWAT", Monsieur Paul Désiré KOUENKAM NANSI(Directeur général)
TAF INVESTMENT GROUP," Acquisition et gestion des valeurs mobilères, création et prise de participation dans les sociétés, réalisation et gestion d'opérations immobilières, prestations de gestion des sociétés", Services aux entreprises, B.P. 1500, DOUALA, 233 40 41 74, taf@tafinvest.com," Zone portuaire, entrée nord"," M. Gaël Fotso (Directeur général), M. Olivier Fotso (Directeur général adjoint)()"
TERMINAL BOIS DU PORT DE DOUALA S.A. (TBPD), Manutention portuaire (gestion de parc à bois),None,None, Douala, 233 42 25 79, sepbc.cameroun@bollore.com, Lieu-dit « Parc à Bois », Monsieur Jean-Luc PALLIX(DG) - Madame Flore YANGO (DGA)
SYNEFOR, SYNDICAT, SYNDICAT, 942, Douala,None, syneforcam@gmail.com," 146, Rue des Ecoles, Akwa Douala"," Alberto SERVIOLO (Président), NKIE Martin Cyrille Laurent (Délégué Général), LUCHARD Epse EKOBO Isabelle (Secrétaire Général)"
TEFON HR," Mise à disposition, placement et gestion du personnel",None, 254, Douala,None, tefonhr@tefonservices.com," Rue bebey eyidi, Akwa", M. Thaddeus FON (Directeur Général)
TELCAR COCOA LTD, Exportation de cacao, Commerce et distribution, B.P. 887, DOUALA, 233 39 38 77, eokie@telcarcocoa.com," Bonabéri, Zone industrielle", Madame Kate KANYI-TOMETI FOTSO(Directeur général)
TPM SA (Transformation of Plastics and Metals), Transformation et commercialisation des plastiques et métaux,None,None, Douala,None, cac_vis3@yahoo.fr," Bassa, PK 12, avant le marché", Monsieur NJIPNGANG Roger (PDG)
TAC (Tôles et Aciers du Cameroun), Fabrication de profils de couverture et de bardage en tôles (aluzinc-prélaquées) et buses métalliques, Industrie métallique, B.P. 15197, DOUALA, 233 41 02 19, tac@taccm.net," Zone portuaire, derrière CNIC", Monsieur Lodewijk DE LAERE (PDG)
TRACTAFRIC EQUIPEMENT," Distribution matériel Caterpillar, Hyster, location matériel et groupes électrogènes, SAV, contrat de maintenance", Commerce et distribution,None, DOUALA, 233 37 45 25, contact.cameroun@tractafrictae.com," Bassa, SHO", M. Jean-Philippe PETIT (Directeur général par intérim)()
THELI RP, Communication et Edition, Services aux entreprises, B.P. 312, YAOUNDE,None, quotidien_economique@yahoo.fr," Yaoundé, Hypodromme, Immeuble lekié", Monsieur Thierry EKOUTI(Directeur général)
THOT HERMES SARL," TRANSIT, TRANSPORT, CONSEIL FISCALO-DOUANIER",None, 8503, DOUALA,None, thothermes2016@gmail.com, Bonapriso, Madame FETNGOU Epse EDJIMBI Michèle (PDG)
TRANSIMEX CAMEROUN," Logistique (transport, entreposage, manutention), distribution (import)", Transport/transit, B.P. 3191, DOUALA, 233 02 24 65, info@transimex-cm.com; ousmanou@transimex-cm.com," Bonanjo, Port, face maersk", Monsieur NGAM OUSMANOU(Président directeur général)
TOTALENERGIES MARKETING CAMEROUN S.A., Distribution de produits pétroliers,None,None, Douala,None, total@total.cm," AKWA, 589, BLD de la Liberté", Monsieur Patrocle PETRIDIS (Directeur Général)
TROPIK INDUSTRIES CAMEROUN," Import-export, commerce général, production", Commerce et distribution, B.P.2895, DOUALA, 233 39 41 73,None," Bonaberi, Zone industrielle", Madame Adèle KAMTCHOUANG(Président directeur général)
TRANSIMAR SA, Transit maritime, Transport/transit, B.P. 2431, DOUALA, 233 43 30 23, transimartransimar@yahoo.fr, Zone portuaire, Monsieur Constant DEUTOU NGAMAKO (PDG)
TRUST-SYSTEMS CONSULTING, INTEGRATEUR DE SOLUTIONS INFORMATIQUES,None, 1184, DOUALA,None, contact@trust-systems.net," RUE FOCH AKWA, M071913914772R", NOUTHIO DEFO Paul Eric (DG)
TRADE WOOD & SERVICES Sarl, Négoce Bois, Services aux entreprises, B.P. 2155, DOUALA, 2 33 04 03 49, tws.sarl@gmail.com," Bonanjo, zone portuaire, derrière Pullman, à coté Panalpina", Monsieur J. Daniel LOBE EBONGUE(Directeur général)
UCB (Union Camerounaise de Brasseries), Fabrication de bière et de boissons gazeuses, Industrie de boissons, B.P. 638, DOUALA, 233 37 23 02, kadjin@sa-ucb.com; feyou@sa-ucb.com," Bassa, à coté HYDRAC", Monsieur  Joseph KADJI  DEFOSSO(Président directeur général)
TURBOSYSTEMS CAMEROON, ENERGY,None, BP. 13 222 Douala-Cameroun, Douala,None, pascal.mooh@accelleron-industries.com, Boulevard des Nations Unies," Rolf SCHWEIZER (PCA/PDG), Pascal Blaise MOOH (Directeur Général)"
UCAM (UNION DES CONSIGNATAIRES ET ARMATEURS DU CAMEROUN)," Consignation de navires, services portuaires", Syndicat, B.P. 1401, DOUALA, 233 42 84 89, ucam@ucamsyndicat.net; ucamsyndicat@yahoo.com, zone Portuaire, Monsieur Jean Claude GENONI(Président); Madame Grace TEMBUNDE Epse FOMUKONG(Secrétaire exécutif)
UTSCH CAMEROUN," Production, construction des plaques d'immatriculation, conception et développement des systémes de sécurité et contrôle des documents", Industrie métallique, B.P. 7268, DOUALA, 233 37 59 97, utschcam@yahoo.fr," Bassa, Zone industrielle", Monsieur André TUETE KWAM (Directeur général)
VELIA SARL, Commercialisation des Intrants agricoles,None, BP 837, DOUALA,None, veliasarl@yaho.fr," Zone portuaire amont, à côté de DANGOTE", Monsieur Olivier DONTSOP (D.G)
UBA (United Bank for Africa), Banque, Banque,None, DOUALA, 233 43 36 38, yves.soumelong@ubagroup.com," Akwa, Boulevard de la Liberté", Monsieur UDOM ISONG(Directeur général)
UBC (UNION BANK OF CAMEROON PLC), Services bancaires, Banque, B.P. 15569, DOUALA, 233 43 19 30," charlote.kouecheu@unionbankcameroon.com, merlin.kamwa@unionbankcameroon.com"," Akwa, Boulevard de la Liberté", Monsieur Félix Landry NJOUME(Directeur Général)
UNITED BUSINESS MACHINES," Maintenance et location de photocopieurs, infographie",None,None,None,None, contact@ubm72.com / fpetto@ubm72.com," Bali, face Mobil Njo-Njo", Monsieur Florian Aimé Petto (directeur général)
UNALOR (Union Allumettière Equatoriale), Manufacture d'allumettes, Industrie chimique, B.P. 988, DOUALA, 233 37 05 48, unalor_dla@yahoo.fr; ngeudeu@yahoo.fr," Bassa, rue tractafric", Monsieur Gilbert DEFO(Directeur général)
UTI ( Union Trading International)," Exportation cacao,café", Commerce et distribution, B.P.5327, DOUALA, 677 99 11 32, direction@uticameroun.com, Bonabéri, Monsieur Ephreim TCHAKOUNTE(Directeur général)
VISION CONFORT," MENUISERIE INDUSTRIELLE, AMEUBLEMENT, DECORATION",None, 2364, YAOUNDE,None, a-direction@visionconfort.com, YAOUNDE-CENTRE COMMERCIAL (NIU  M080700023184T), Monsieur Honoré SIMO (PDG)
WCI (WORLD CAR INDUSTRY ), Contrôle technique automobile (Visite technique), Services aux entreprises,None, DOUALA,None, worldindustrycar@yahoo.fr," Aéroport, face ecole d'incendie", Monsieur Jean Bosco TAHAKAM SIMO(Directeur général)
WILLIS TOWERS WATSON CAMEROUN, Courtage en assurances, Assurance, B.P. 3014, DOUALA, 233 42 19 66, gras.savoye@cm.grassavoye.com," Bonanjo, Imm Ecobank", Monsieur FAYEZ SAMB (Directeur Général)
YOOMEE MOBILE," Télécommunication, fournisseur d'accès internet",None, B.P. 2403, DOUALA,None," infos@yoomee.cm, contact@yoomee.cm"," AKWA , Ancien AEROFEU, face Saker", Monsieur Jean Marie OLICARD (Directeur Général)
WIJMA CAMEROUN S.A., Exploitation forestière, Agro-industrie, B.P. 1616, DOUALA, 233 42 33 69, j.riviere@wijma.cm," Bonanjo, Avenue de Gaulle, face maison du partie", Monsieur Olivier THERON(Directeur général)
WISDOM INTERNATIONAL, Prestations immobilières - BTP - Formations - Prestations de services,None, 4731, DOUALA,None, julesfabricefuture@gmail.com," 1218 Boulevard de la liberté Akwa, face IFC", Monsieur Sylvestre Magloire TAMO TCHUIMBOU  (PDG)
ZATI CONSTRUCTIONS," Vente de matériaux de construction, BTP, nétoyage industriel",None, BP 7786, DOUALA,None, zati.construction@yahoo.fr," Bonanjo, Newtown Aéroport", Monsieur TIAVE Emmanuel  (D.G)
ZENITHE INSURANCE SA," Assurance et réassurance, Finance",None,None, Douala,None,  info@zenitheinsurance.com," Akwa Blvd de la République, Face Palais DIKA AKWA (1388 Rue Bebey EYIDI)", Monsieur Maxwell NDECHAM (Administrateur Directeur Général)
 Commercialisation des Intrants agricoles, DOUALA, veliasarl@yaho.fr,," Zone portuaire amont, Ã  cÃ´tÃ© de DANGOTE", Monsieur Olivier DONTSOP (D.G),VELIA SARL, BP 837,
 Banque, DOUALA, yves.soumelong@ubagroup.com, 233 43 36 38," Akwa, Boulevard de la LibertÃ©", Monsieur UDOM ISONG(Directeur gÃ©nÃ©ral),UBA (United Bank for Africa),, Banque
 Services bancaires, DOUALA," charlote.kouecheu@unionbankcameroon.com, merlin.kamwa@unionbankcameroon.com", 233 43 19 30," Akwa, Boulevard de la LibertÃ©", Monsieur FÃ©lix Landry NJOUME(Directeur GÃ©nÃ©ral),UBC (UNION BANK OF CAMEROON PLC), B.P. 15569, Banque
" Maintenance et location de photocopieurs, infographie",, contact@ubm72.com / fpetto@ubm72.com,," Bali, face Mobil Njo-Njo", Monsieur Florian AimÃ© Petto (directeur gÃ©nÃ©ral),UNITED BUSINESS MACHINES,,
 Manufacture d'allumettes, DOUALA, unalor_dla@yahoo.fr; ngeudeu@yahoo.fr, 233 37 05 48," Bassa, rue tractafric", Monsieur Gilbert DEFO(Directeur gÃ©nÃ©ral),UNALOR (Union AllumettiÃ¨re Equatoriale), B.P. 988, Industrie chimique
" Exportation cacao,cafÃ©", DOUALA, direction@uticameroun.com, 677 99 11 32, BonabÃ©ri, Monsieur Ephreim TCHAKOUNTE(Directeur gÃ©nÃ©ral),UTI ( Union Trading International), B.P.5327, Commerce et distribution
" MENUISERIE INDUSTRIELLE, AMEUBLEMENT, DECORATION", YAOUNDE, a-direction@visionconfort.com,, YAOUNDE-CENTRE COMMERCIAL (NIU  M080700023184T), Monsieur HonorÃ© SIMO (PDG),VISION CONFORT, 2364,
 ContrÃ´le technique automobile (Visite technique), DOUALA, worldindustrycar@yahoo.fr,," AÃ©roport, face ecole d'incendie", Monsieur Jean Bosco TAHAKAM SIMO(Directeur gÃ©nÃ©ral),WCI (WORLD CAR INDUSTRY ),, Services aux entreprises
 Courtage en assurances, DOUALA, gras.savoye@cm.grassavoye.com, 233 42 19 66," Bonanjo, Imm Ecobank", Monsieur FAYEZ SAMB (Directeur GÃ©nÃ©ral),WILLIS TOWERS WATSON CAMEROUN, B.P. 3014, Assurance
" TÃ©lÃ©communication, fournisseur d'accÃ¨s internet", DOUALA," infos@yoomee.cm, contact@yoomee.cm",," AKWA , Ancien AEROFEU, face Saker", Monsieur Jean Marie OLICARD (Directeur GÃ©nÃ©ral),YOOMEE MOBILE, B.P. 2403,
 Exploitation forestiÃ¨re, DOUALA, j.riviere@wijma.cm, 233 42 33 69," Bonanjo, Avenue de Gaulle, face maison du partie", Monsieur Olivier THERON(Directeur gÃ©nÃ©ral),WIJMA CAMEROUN S.A., B.P. 1616, Agro-industrie
 Prestations immobiliÃ¨res - BTP - Formations - Prestations de services, DOUALA, julesfabricefuture@gmail.com,," 1218 Boulevard de la libertÃ© Akwa, face IFC", Monsieur Sylvestre Magloire TAMO TCHUIMBOU  (PDG),WISDOM INTERNATIONAL, 4731,
" Vente de matÃ©riaux de construction, BTP, nÃ©toyage industriel", DOUALA, zati.construction@yahoo.fr,," Bonanjo, Newtown AÃ©roport", Monsieur TIAVE Emmanuel  (D.G),ZATI CONSTRUCTIONS, BP 7786,
" Assurance et rÃ©assurance, Finance", Douala,  info@zenitheinsurance.com,," Akwa Blvd de la RÃ©publique, Face Palais DIKA AKWA (1388 Rue Bebey EYIDI)", Monsieur Maxwell NDECHAM (Administrateur Directeur GÃ©nÃ©ral),ZENITHE INSURANCE SA,,
